# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
0.483535  1.645238e+04
0.495933  4.684701e+04
0.508332  5.855657e+04
0.520730  8.991392e+04
0.533128  1.766509e+05
0.545527  2.578324e+05
0.557925  3.459319e+05
0.570323  5.066173e+05
0.582722  7.024958e+05
0.595120  9.243271e+05
0.607518  1.222778e+06
0.619917  1.585732e+06
0.632315  2.017318e+06
0.644713  2.550202e+06
0.657112  3.171052e+06
0.669510  3.900206e+06
0.681908  4.773627e+06
0.694307  5.775209e+06
0.706705  6.924349e+06
0.719103  8.261565e+06
0.731502  9.781499e+06
0.743900  1.150175e+07
0.756298  1.345778e+07
0.768697  1.565509e+07
0.781095  1.811643e+07
0.793493  2.087315e+07
0.805892  2.393522e+07
0.818290  2.733071e+07
0.830688  3.109137e+07
0.843087  3.523113e+07
0.855485  3.978029e+07
0.867883  4.477161e+07
0.880282  5.022457e+07
0.892680  5.617100e+07
0.905078  6.264396e+07
0.917477  6.966848e+07
0.929875  7.727818e+07
0.942273  8.550699e+07
0.954672  9.438368e+07
0.967070  1.039449e+08
0.979468  1.142258e+08
0.991867  1.252585e+08
1.004265  1.370800e+08
1.016663  1.497290e+08
1.029062  1.632399e+08
1.041460  1.776531e+08
1.053858  1.930068e+08
1.066257  2.093394e+08
1.078655  2.266922e+08
1.091053  2.451057e+08
1.103452  2.646220e+08
1.115850  2.852804e+08
1.128248  3.071273e+08
1.140647  3.302031e+08
1.153045  3.545528e+08
1.165443  3.802233e+08
1.177842  4.072534e+08
1.190240  4.356925e+08
1.202638  4.655879e+08
1.215037  4.969818e+08
1.227435  5.299269e+08
1.239833  5.644675e+08
1.252232  6.006489e+08
1.264630  6.385250e+08
1.277028  6.781405e+08
1.289427  7.195447e+08
1.301825  7.627904e+08
1.314223  8.079260e+08
1.326622  8.549956e+08
1.339020  9.040646e+08
1.351418  9.551705e+08
1.363817  1.008367e+09
1.376215  1.063714e+09
1.388613  1.121252e+09
1.401012  1.181044e+09
1.413410  1.243139e+09
1.425808  1.307588e+09
1.438207  1.374447e+09
1.450605  1.443758e+09
1.463003  1.515591e+09
1.475402  1.589997e+09
1.487800  1.667021e+09
1.500198  1.746725e+09
1.512597  1.829158e+09
1.524995  1.914387e+09
1.537393  2.002444e+09
1.549792  2.093406e+09
1.562190  2.187319e+09
1.574588  2.284244e+09
1.586987  2.384225e+09
1.599385  2.487321e+09
1.611783  2.593588e+09
1.624182  2.703088e+09
1.636580  2.815870e+09
1.648978  2.931996e+09
1.661377  3.051522e+09
1.673775  3.174498e+09
1.686173  3.300982e+09
1.698572  3.431026e+09
1.710970  3.564684e+09
1.723368  3.702056e+09
1.735767  3.843134e+09
1.748165  3.987981e+09
1.760563  4.136700e+09
1.772962  4.289307e+09
1.785360  4.445871e+09
1.797758  4.606458e+09
1.810157  4.771110e+09
1.822555  4.939883e+09
1.834953  5.112822e+09
1.847352  5.290031e+09
1.859750  5.471539e+09
1.872148  5.657327e+09
1.884547  5.847557e+09
1.896945  6.042281e+09
1.909343  6.241466e+09
1.921742  6.445263e+09
