# RRKM rate for corannulene isomer 
En(eV)     K(E) s-1
1.624182  1.168792e-06
1.636580  3.825455e-06
1.648978  7.831310e-06
1.661377  1.604379e-05
1.673775  3.105060e-05
1.686173  5.571525e-05
1.698572  9.541466e-05
1.710970  1.577062e-04
1.723368  2.529300e-04
1.735767  3.954060e-04
1.748165  6.036757e-04
1.760563  9.028839e-04
1.772962  1.327076e-03
1.785360  1.919922e-03
1.797758  2.736821e-03
1.810157  3.849879e-03
1.822555  5.351087e-03
1.834953  7.355522e-03
1.847352  1.000692e-02
1.859750  1.348423e-02
1.872148  1.800928e-02
1.884547  2.385407e-02
1.896945  3.135008e-02
1.909343  4.090052e-02
1.921742  5.299379e-02
1.934140  6.821686e-02
1.946538  8.727312e-02
1.958937  1.110007e-01
1.971335  1.403972e-01
1.983733  1.766436e-01
1.996132  2.211310e-01
2.008530  2.754948e-01
2.020928  3.416510e-01
2.033327  4.218351e-01
2.045725  5.186544e-01
2.058123  6.351221e-01
2.070522  7.747373e-01
2.082920  9.415255e-01
2.095318  1.140127e+00
2.107717  1.375873e+00
2.120115  1.654849e+00
2.132513  1.984008e+00
2.144912  2.371296e+00
2.157310  2.825715e+00
2.169708  3.357509e+00
2.182107  3.978202e+00
2.194505  4.700965e+00
2.206903  5.540445e+00
2.219302  6.513272e+00
2.231700  7.638082e+00
2.244098  8.935735e+00
2.256497  1.042961e+01
2.268895  1.214592e+01
2.281293  1.411359e+01
2.293692  1.636520e+01
2.306090  1.893677e+01
2.318488  2.186827e+01
2.330887  2.520410e+01
2.343285  2.899323e+01
2.355683  3.329010e+01
2.368082  3.815468e+01
2.380480  4.365271e+01
2.392878  4.985675e+01
2.405277  5.684667e+01
2.417675  6.471031e+01
2.430073  7.354360e+01
2.442472  8.345171e+01
2.454870  9.455054e+01
2.467268  1.069643e+02
2.479667  1.208319e+02
2.492065  1.363024e+02
2.504463  1.535383e+02
2.516862  1.727170e+02
2.529260  1.940325e+02
2.541658  2.176919e+02
2.554057  2.439238e+02
2.566455  2.729720e+02
2.578853  3.051049e+02
2.591252  3.406099e+02
2.603650  3.797967e+02
2.616048  4.230018e+02
2.628447  4.705863e+02
2.640845  5.229417e+02
2.653243  5.804849e+02
2.665642  6.436730e+02
2.678040  7.129882e+02
2.690438  7.889546e+02
2.702837  8.721250e+02
2.715235  9.631108e+02
2.727633  1.062553e+03
2.740032  1.171135e+03
2.752430  1.289595e+03
2.764828  1.418723e+03
2.777227  1.559361e+03
2.789625  1.712411e+03
2.802023  1.878841e+03
2.814422  2.059654e+03
2.826820  2.255962e+03
2.839218  2.468910e+03
2.851617  2.699742e+03
2.864015  2.949772e+03
2.876413  3.220399e+03
2.888812  3.513094e+03
2.901210  3.829452e+03
2.913608  4.171157e+03
2.926007  4.539976e+03
2.938405  4.937747e+03
2.950803  5.366516e+03
2.963202  5.828336e+03
2.975600  6.325500e+03
2.987998  6.860341e+03
3.000397  7.435335e+03
3.012795  8.053117e+03
3.025193  8.716528e+03
3.037592  9.428379e+03
3.049990  1.019191e+04
3.062388  1.101030e+04
