       No.    E-Emin     Density     Sum
         1        0.0  1.00000E-02  1.00000E+00
         2      100.0  3.00000E-02  4.00000E+00
         3      200.0  4.00000E-02  8.00000E+00
         4      300.0  1.10000E-01  1.90000E+01
         5      400.0  2.80000E-01  4.70000E+01
         6      500.0  4.50000E-01  9.20000E+01
         7      600.0  8.80000E-01  1.80000E+02
         8      700.0  1.84000E+00  3.64000E+02
         9      800.0  3.09000E+00  6.73000E+02
        10      900.0  5.46000E+00  1.21900E+03
        11     1000.0  1.00700E+01  2.22600E+03
        12     1100.0  1.67100E+01  3.89700E+03
        13     1200.0  2.80500E+01  6.70200E+03
        14     1300.0  4.81200E+01  1.15140E+04
        15     1400.0  7.80800E+01  1.93220E+04
        16     1500.0  1.26380E+02  3.19600E+04
        17     1600.0  2.06540E+02  5.26140E+04
        18     1700.0  3.27380E+02  8.53520E+04
        19     1800.0  5.15350E+02  1.36887E+05
        20     1900.0  8.13190E+02  2.18206E+05
        21     2000.0  1.26064E+03  3.44270E+05
        22     2100.0  1.93996E+03  5.38266E+05
        23     2200.0  2.98091E+03  8.36357E+05
        24     2300.0  4.52889E+03  1.28925E+06
        25     2400.0  6.83509E+03  1.97276E+06
        26     2500.0  1.02825E+04  3.00100E+06
        27     2600.0  1.53459E+04  4.53559E+06
        28     2700.0  2.27699E+04  6.81259E+06
        29     2800.0  3.36550E+04  1.01781E+07
        30     2900.0  4.94421E+04  1.51223E+07
        31     3000.0  7.22673E+04  2.23490E+07
        32     3100.0  1.05210E+05  3.28701E+07
        33     3200.0  1.52410E+05  4.81111E+07
        34     3300.0  2.19807E+05  7.00917E+07
        35     3400.0  3.15791E+05  1.01671E+08
        36     3500.0  4.51760E+05  1.46847E+08
        37     3600.0  6.43726E+05  2.11219E+08
        38     3700.0  9.13969E+05  3.02616E+08
        39     3800.0  1.29280E+06  4.31896E+08
        40     3900.0  1.82217E+06  6.14113E+08
        41     4000.0  2.55974E+06  8.70087E+08
        42     4100.0  3.58377E+06  1.22846E+09
        43     4200.0  5.00129E+06  1.72859E+09
        44     4300.0  6.95802E+06  2.42439E+09
        45     4400.0  9.65069E+06  3.38946E+09
        46     4500.0  1.33459E+07  4.72405E+09
        47     4600.0  1.84034E+07  6.56439E+09
        48     4700.0  2.53063E+07  9.09502E+09
        49     4800.0  3.47037E+07  1.25654E+10
        50     4900.0  4.74652E+07  1.73119E+10
        51     5000.0  6.47513E+07  2.37870E+10
        52     5100.0  8.81099E+07  3.25980E+10
        53     5200.0  1.19601E+08  4.45581E+10
        54     5300.0  1.61956E+08  6.07537E+10
        55     5400.0  2.18797E+08  8.26334E+10
        56     5500.0  2.94909E+08  1.12124E+11
        57     5600.0  3.96607E+08  1.51785E+11
        58     5700.0  5.32205E+08  2.05006E+11
        59     5800.0  7.12633E+08  2.76269E+11
        60     5900.0  9.52225E+08  3.71491E+11
        61     6000.0  1.26975E+09  4.98467E+11
        62     6100.0  1.68976E+09  6.67442E+11
        63     6200.0  2.24425E+09  8.91867E+11
        64     6300.0  2.97493E+09  1.18936E+12
        65     6400.0  3.93604E+09  1.58296E+12
        66     6500.0  5.19798E+09  2.10276E+12
        67     6600.0  6.85198E+09  2.78796E+12
        68     6700.0  9.01612E+09  3.68957E+12
        69     6800.0  1.18430E+10  4.87387E+12
        70     6900.0  1.55293E+10  6.42679E+12
        71     7000.0  2.03285E+10  8.45964E+12
        72     7100.0  2.65667E+10  1.11163E+13
        73     7200.0  3.46624E+10  1.45825E+13
        74     7300.0  4.51525E+10  1.90978E+13
        75     7400.0  5.87244E+10  2.49702E+13
        76     7500.0  7.62571E+10  3.25959E+13
        77     7600.0  9.88733E+10  4.24833E+13
        78     7700.0  1.28005E+11  5.52837E+13
        79     7800.0  1.65474E+11  7.18311E+13
        80     7900.0  2.13600E+11  9.31911E+13
        81     8000.0  2.75329E+11  1.20724E+14
        82     8100.0  3.54397E+11  1.56164E+14
        83     8200.0  4.55539E+11  2.01718E+14
        84     8300.0  5.84746E+11  2.60192E+14
        85     8400.0  7.49591E+11  3.35151E+14
        86     8500.0  9.59634E+11  4.31115E+14
        87     8600.0  1.22693E+12  5.53808E+14
        88     8700.0  1.56666E+12  7.10474E+14
        89     8800.0  1.99792E+12  9.10266E+14
        90     8900.0  2.54471E+12  1.16474E+15
        91     9000.0  3.23716E+12  1.48845E+15
        92     9100.0  4.11302E+12  1.89976E+15
        93     9200.0  5.21960E+12  2.42171E+15
        94     9300.0  6.61606E+12  3.08332E+15
        95     9400.0  8.37635E+12  3.92095E+15
        96     9500.0  1.05928E+13  4.98023E+15
        97     9600.0  1.33805E+13  6.31828E+15
        98     9700.0  1.68829E+13  8.00657E+15
        99     9800.0  2.12786E+13  1.01344E+16
       100     9900.0  2.67894E+13  1.28134E+16
       101    10000.0  3.36910E+13  1.61825E+16
       102    10100.0  4.23257E+13  2.04150E+16
       103    10200.0  5.31174E+13  2.57268E+16
       104    10300.0  6.65914E+13  3.23859E+16
       105    10400.0  8.33978E+13  4.07257E+16
       106    10500.0  1.04340E+14  5.11597E+16
       107    10600.0  1.30410E+14  6.42007E+16
       108    10700.0  1.62834E+14  8.04841E+16
       109    10800.0  2.03119E+14  1.00796E+17
       110    10900.0  2.53127E+14  1.26109E+17
       111    11000.0  3.15147E+14  1.57623E+17
       112    11100.0  3.91991E+14  1.96823E+17
       113    11200.0  4.87118E+14  2.45534E+17
       114    11300.0  6.04772E+14  3.06012E+17
       115    11400.0  7.50159E+14  3.81027E+17
       116    11500.0  9.29659E+14  4.73993E+17
       117    11600.0  1.15108E+15  5.89102E+17
       118    11700.0  1.42399E+15  7.31500E+17
       119    11800.0  1.76006E+15  9.07506E+17
       120    11900.0  2.17356E+15  1.12486E+18
       121    12000.0  2.68193E+15  1.39306E+18
       122    12100.0  3.30640E+15  1.72370E+18
       123    12200.0  4.07288E+15  2.13098E+18
       124    12300.0  5.01288E+15  2.63227E+18
       125    12400.0  6.16479E+15  3.24875E+18
       126    12500.0  7.57525E+15  4.00628E+18
       127    12600.0  9.30096E+15  4.93637E+18
       128    12700.0  1.14107E+16  6.07745E+18
       129    12800.0  1.39881E+16  7.47626E+18
       130    12900.0  1.71343E+16  9.18968E+18
       131    13000.0  2.09719E+16  1.12869E+19
       132    13100.0  2.56496E+16  1.38518E+19
       133    13200.0  3.13469E+16  1.69865E+19
       134    13300.0  3.82810E+16  2.08146E+19
       135    13400.0  4.67144E+16  2.54861E+19
       136    13500.0  5.69639E+16  3.11825E+19
       137    13600.0  6.94118E+16  3.81236E+19
       138    13700.0  8.45191E+16  4.65755E+19
       139    13800.0  1.02841E+17  5.68596E+19
       140    13900.0  1.25046E+17  6.93643E+19
       141    14000.0  1.51940E+17  8.45583E+19
       142    14100.0  1.84490E+17  1.03007E+20
       143    14200.0  2.23859E+17  1.25393E+20
       144    14300.0  2.71445E+17  1.52538E+20
       145    14400.0  3.28924E+17  1.85430E+20
       146    14500.0  3.98308E+17  2.25261E+20
       147    14600.0  4.82008E+17  2.73462E+20
       148    14700.0  5.82915E+17  3.31753E+20
       149    14800.0  7.04488E+17  4.02202E+20
       150    14900.0  8.50867E+17  4.87289E+20
       151    15000.0  1.02700E+18  5.89989E+20
       152    15100.0  1.23882E+18  7.13871E+20
       153    15200.0  1.49338E+18  8.63208E+20
       154    15300.0  1.79912E+18  1.04312E+21
       155    15400.0  2.16613E+18  1.25973E+21
       156    15500.0  2.60640E+18  1.52037E+21
       157    15600.0  3.13425E+18  1.83380E+21
       158    15700.0  3.76674E+18  2.21047E+21
       159    15800.0  4.52416E+18  2.66289E+21
       160    15900.0  5.43067E+18  3.20596E+21
       161    16000.0  6.51498E+18  3.85745E+21
       162    16100.0  7.81123E+18  4.63858E+21
       163    16200.0  9.35999E+18  5.57458E+21
       164    16300.0  1.12094E+19  6.69551E+21
       165    16400.0  1.34166E+19  8.03717E+21
       166    16500.0  1.60493E+19  9.64210E+21
       167    16600.0  1.91879E+19  1.15609E+22
       168    16700.0  2.29275E+19  1.38536E+22
       169    16800.0  2.73809E+19  1.65917E+22
       170    16900.0  3.26814E+19  1.98599E+22
       171    17000.0  3.89868E+19  2.37585E+22
       172    17100.0  4.64837E+19  2.84069E+22
       173    17200.0  5.53927E+19  3.39462E+22
       174    17300.0  6.59741E+19  4.05436E+22
       175    17400.0  7.85355E+19  4.83971E+22
       176    17500.0  9.34397E+19  5.77411E+22
       177    17600.0  1.11115E+20  6.88526E+22
       178    17700.0  1.32065E+20  8.20591E+22
       179    17800.0  1.56886E+20  9.77478E+22
       180    17900.0  1.86277E+20  1.16375E+23
       181    18000.0  2.21063E+20  1.38482E+23
       182    18100.0  2.62214E+20  1.64703E+23
       183    18200.0  3.10871E+20  1.95790E+23
       184    18300.0  3.68375E+20  2.32628E+23
       185    18400.0  4.36304E+20  2.76258E+23
       186    18500.0  5.16507E+20  3.27909E+23
       187    18600.0  6.11159E+20  3.89025E+23
       188    18700.0  7.22811E+20  4.61306E+23
       189    18800.0  8.54454E+20  5.46751E+23
       190    18900.0  1.00960E+21  6.47711E+23
       191    19000.0  1.19235E+21  7.66946E+23
       192    19100.0  1.40753E+21  9.07699E+23
       193    19200.0  1.66077E+21  1.07378E+24
       194    19300.0  1.95868E+21  1.26964E+24
       195    19400.0  2.30898E+21  1.50054E+24
       196    19500.0  2.72069E+21  1.77261E+24
       197    19600.0  3.20438E+21  2.09305E+24
       198    19700.0  3.77236E+21  2.47029E+24
       199    19800.0  4.43906E+21  2.91419E+24
       200    19900.0  5.22129E+21  3.43632E+24
       201    20000.0  6.13867E+21  4.05019E+24
       202    20100.0  7.21409E+21  4.77160E+24
       203    20200.0  8.47426E+21  5.61902E+24
       204    20300.0  9.95029E+21  6.61405E+24
       205    20400.0  1.16784E+22  7.78189E+24
       206    20500.0  1.37009E+22  9.15199E+24
       207    20600.0  1.60669E+22  1.07587E+25
       208    20700.0  1.88336E+22  1.26420E+25
       209    20800.0  2.20675E+22  1.48488E+25
       210    20900.0  2.58460E+22  1.74334E+25
       211    21000.0  3.02592E+22  2.04593E+25
       212    21100.0  3.54114E+22  2.40004E+25
       213    21200.0  4.14242E+22  2.81429E+25
       214    21300.0  4.84384E+22  3.29867E+25
       215    21400.0  5.66177E+22  3.86485E+25
       216    21500.0  6.61518E+22  4.52636E+25
       217    21600.0  7.72610E+22  5.29897E+25
       218    21700.0  9.02003E+22  6.20098E+25
       219    21800.0  1.05266E+23  7.25363E+25
       220    21900.0  1.22800E+23  8.48163E+25
       221    22000.0  1.43199E+23  9.91362E+25
       222    22100.0  1.66923E+23  1.15829E+26
       223    22200.0  1.94504E+23  1.35279E+26
       224    22300.0  2.26556E+23  1.57935E+26
       225    22400.0  2.63791E+23  1.84314E+26
       226    22500.0  3.07031E+23  2.15017E+26
       227    22600.0  3.57226E+23  2.50739E+26
       228    22700.0  4.15473E+23  2.92287E+26
       229    22800.0  4.83040E+23  3.40591E+26
       230    22900.0  5.61391E+23  3.96730E+26
