       No.    E-Emin     Density     Sum
         1        0.0  1.00000E-02  1.00000E+00
         2      100.0  3.00000E-02  4.00000E+00
         3      200.0  3.00000E-02  7.00000E+00
         4      300.0  8.00000E-02  1.50000E+01
         5      400.0  2.60000E-01  4.10000E+01
         6      500.0  4.20000E-01  8.30000E+01
         7      600.0  7.10000E-01  1.54000E+02
         8      700.0  1.57000E+00  3.11000E+02
         9      800.0  2.82000E+00  5.93000E+02
        10      900.0  4.77000E+00  1.07000E+03
        11     1000.0  8.66000E+00  1.93600E+03
        12     1100.0  1.48900E+01  3.42500E+03
        13     1200.0  2.50400E+01  5.92900E+03
        14     1300.0  4.24500E+01  1.01740E+04
        15     1400.0  6.95700E+01  1.71310E+04
        16     1500.0  1.13340E+02  2.84650E+04
        17     1600.0  1.84940E+02  4.69590E+04
        18     1700.0  2.94440E+02  7.64030E+04
        19     1800.0  4.65220E+02  1.22925E+05
        20     1900.0  7.34610E+02  1.96386E+05
        21     2000.0  1.14304E+03  3.10690E+05
        22     2100.0  1.76462E+03  4.87152E+05
        23     2200.0  2.71392E+03  7.58544E+05
        24     2300.0  4.13402E+03  1.17195E+06
        25     2400.0  6.25813E+03  1.79776E+06
        26     2500.0  9.42742E+03  2.74050E+06
        27     2600.0  1.40956E+04  4.15006E+06
        28     2700.0  2.09661E+04  6.24668E+06
        29     2800.0  3.10397E+04  9.35065E+06
        30     2900.0  4.56719E+04  1.39178E+07
        31     3000.0  6.68858E+04  2.06064E+07
        32     3100.0  9.75275E+04  3.03592E+07
        33     3200.0  1.41487E+05  4.45078E+07
        34     3300.0  2.04383E+05  6.49461E+07
        35     3400.0  2.94042E+05  9.43503E+07
        36     3500.0  4.21194E+05  1.36470E+08
        37     3600.0  6.01011E+05  1.96571E+08
        38     3700.0  8.54385E+05  2.82009E+08
        39     3800.0  1.20991E+06  4.03001E+08
        40     3900.0  1.70739E+06  5.73740E+08
        41     4000.0  2.40116E+06  8.13856E+08
        42     4100.0  3.36520E+06  1.15038E+09
        43     4200.0  4.70114E+06  1.62049E+09
        44     4300.0  6.54678E+06  2.27517E+09
        45     4400.0  9.08857E+06  3.18402E+09
        46     4500.0  1.25798E+07  4.44201E+09
        47     4600.0  1.73617E+07  6.17818E+09
        48     4700.0  2.38930E+07  8.56748E+09
        49     4800.0  3.27911E+07  1.18466E+10
        50     4900.0  4.48823E+07  1.63348E+10
        51     5000.0  6.12703E+07  2.24619E+10
        52     5100.0  8.34295E+07  3.08048E+10
        53     5200.0  1.13320E+08  4.21368E+10
        54     5300.0  1.53543E+08  5.74911E+10
        55     5400.0  2.07551E+08  7.82461E+10
        56     5500.0  2.79904E+08  1.06237E+11
        57     5600.0  3.76621E+08  1.43899E+11
        58     5700.0  5.05636E+08  1.94462E+11
        59     5800.0  6.77370E+08  2.62199E+11
        60     5900.0  9.05503E+08  3.52749E+11
        61     6000.0  1.20795E+09  4.73545E+11
        62     6100.0  1.60814E+09  6.34359E+11
        63     6200.0  2.13663E+09  8.48022E+11
        64     6300.0  2.83326E+09  1.13135E+12
        65     6400.0  3.74980E+09  1.50633E+12
        66     6500.0  4.95352E+09  2.00168E+12
        67     6600.0  6.53156E+09  2.65484E+12
        68     6700.0  8.59674E+09  3.51451E+12
        69     6800.0  1.12948E+10  4.64399E+12
        70     6900.0  1.48138E+10  6.12537E+12
        71     7000.0  1.93958E+10  8.06495E+12
        72     7100.0  2.53525E+10  1.06002E+13
        73     7200.0  3.30838E+10  1.39086E+13
        74     7300.0  4.31027E+10  1.82188E+13
        75     7400.0  5.60660E+10  2.38254E+13
        76     7500.0  7.28137E+10  3.11068E+13
        77     7600.0  9.44185E+10  4.05487E+13
        78     7700.0  1.22248E+11  5.27735E+13
        79     7800.0  1.58044E+11  6.85778E+13
        80     7900.0  2.04021E+11  8.89799E+13
        81     8000.0  2.62993E+11  1.15279E+14
        82     8100.0  3.38530E+11  1.49132E+14
        83     8200.0  4.35151E+11  1.92647E+14
        84     8300.0  5.58579E+11  2.48505E+14
        85     8400.0  7.16043E+11  3.20110E+14
        86     8500.0  9.16668E+11  4.11776E+14
        87     8600.0  1.17196E+12  5.28972E+14
        88     8700.0  1.49641E+12  6.78613E+14
        89     8800.0  1.90822E+12  8.69435E+14
        90     8900.0  2.43031E+12  1.11247E+15
        91     9000.0  3.09139E+12  1.42161E+15
        92     9100.0  3.92748E+12  1.81435E+15
        93     9200.0  4.98365E+12  2.31272E+15
        94     9300.0  6.31632E+12  2.94435E+15
        95     9400.0  7.99594E+12  3.74394E+15
        96     9500.0  1.01105E+13  4.75499E+15
        97     9600.0  1.27695E+13  6.03194E+15
        98     9700.0  1.61097E+13  7.64291E+15
        99     9800.0  2.03009E+13  9.67300E+15
       100     9900.0  2.55544E+13  1.22284E+16
       101    10000.0  3.21325E+13  1.54417E+16
       102    10100.0  4.03606E+13  1.94778E+16
       103    10200.0  5.06419E+13  2.45419E+16
       104    10300.0  6.34757E+13  3.08895E+16
       105    10400.0  7.94798E+13  3.88375E+16
       106    10500.0  9.94175E+13  4.87792E+16
       107    10600.0  1.24231E+14  6.12024E+16
       108    10700.0  1.55084E+14  7.67107E+16
       109    10800.0  1.93408E+14  9.60515E+16
       110    10900.0  2.40968E+14  1.20148E+17
       111    11000.0  2.99936E+14  1.50142E+17
       112    11100.0  3.72978E+14  1.87440E+17
       113    11200.0  4.63373E+14  2.33777E+17
       114    11300.0  5.75142E+14  2.91291E+17
       115    11400.0  7.13216E+14  3.62613E+17
       116    11500.0  8.83635E+14  4.50976E+17
       117    11600.0  1.09379E+15  5.60356E+17
       118    11700.0  1.35273E+15  6.95629E+17
       119    11800.0  1.67150E+15  8.62778E+17
       120    11900.0  2.06359E+15  1.06914E+18
       121    12000.0  2.54548E+15  1.32369E+18
       122    12100.0  3.13722E+15  1.63741E+18
       123    12200.0  3.86328E+15  2.02373E+18
       124    12300.0  4.75341E+15  2.49908E+18
       125    12400.0  5.84382E+15  3.08346E+18
       126    12500.0  7.17853E+15  3.80131E+18
       127    12600.0  8.81097E+15  4.68241E+18
       128    12700.0  1.08060E+16  5.76301E+18
       129    12800.0  1.32423E+16  7.08724E+18
       130    12900.0  1.62152E+16  8.70876E+18
       131    13000.0  1.98402E+16  1.06928E+19
       132    13100.0  2.42569E+16  1.31185E+19
       133    13200.0  2.96344E+16  1.60819E+19
       134    13300.0  3.61767E+16  1.96996E+19
       135    13400.0  4.41306E+16  2.41126E+19
       136    13500.0  5.37936E+16  2.94920E+19
       137    13600.0  6.55247E+16  3.60445E+19
       138    13700.0  7.97562E+16  4.40201E+19
       139    13800.0  9.70093E+16  5.37210E+19
       140    13900.0  1.17911E+17  6.55121E+19
       141    14000.0  1.43215E+17  7.98337E+19
       142    14100.0  1.73829E+17  9.72166E+19
       143    14200.0  2.10842E+17  1.18301E+20
       144    14300.0  2.55560E+17  1.43857E+20
       145    14400.0  3.09554E+17  1.74812E+20
       146    14500.0  3.74703E+17  2.12282E+20
       147    14600.0  4.53262E+17  2.57609E+20
       148    14700.0  5.47930E+17  3.12402E+20
       149    14800.0  6.61938E+17  3.78595E+20
       150    14900.0  7.99150E+17  4.58510E+20
       151    15000.0  9.64185E+17  5.54929E+20
       152    15100.0  1.16256E+18  6.71185E+20
       153    15200.0  1.40087E+18  8.11272E+20
       154    15300.0  1.68697E+18  9.79969E+20
       155    15400.0  2.03025E+18  1.18299E+21
       156    15500.0  2.44187E+18  1.42718E+21
       157    15600.0  2.93516E+18  1.72070E+21
       158    15700.0  3.52596E+18  2.07329E+21
       159    15800.0  4.23315E+18  2.49661E+21
       160    15900.0  5.07915E+18  3.00452E+21
       161    16000.0  6.09064E+18  3.61359E+21
       162    16100.0  7.29929E+18  4.34352E+21
       163    16200.0  8.74272E+18  5.21779E+21
       164    16300.0  1.04656E+19  6.26434E+21
       165    16400.0  1.25208E+19  7.51642E+21
       166    16500.0  1.49711E+19  9.01353E+21
       167    16600.0  1.78908E+19  1.08026E+22
       168    16700.0  2.13681E+19  1.29394E+22
       169    16800.0  2.55072E+19  1.54901E+22
       170    16900.0  3.04313E+19  1.85333E+22
       171    17000.0  3.62862E+19  2.21619E+22
       172    17100.0  4.32443E+19  2.64863E+22
       173    17200.0  5.15090E+19  3.16372E+22
       174    17300.0  6.13206E+19  3.77693E+22
       175    17400.0  7.29626E+19  4.50655E+22
       176    17500.0  8.67694E+19  5.37425E+22
       177    17600.0  1.03135E+20  6.40560E+22
       178    17700.0  1.22525E+20  7.63085E+22
       179    17800.0  1.45485E+20  9.08570E+22
       180    17900.0  1.72660E+20  1.08123E+23
       181    18000.0  2.04808E+20  1.28604E+23
       182    18100.0  2.42820E+20  1.52886E+23
       183    18200.0  2.87743E+20  1.81660E+23
       184    18300.0  3.40810E+20  2.15741E+23
       185    18400.0  4.03465E+20  2.56088E+23
       186    18500.0  4.77407E+20  3.03828E+23
       187    18600.0  5.64628E+20  3.60291E+23
       188    18700.0  6.67463E+20  4.27038E+23
       189    18800.0  7.88652E+20  5.05903E+23
       190    18900.0  9.31404E+20  5.99043E+23
       191    19000.0  1.09948E+21  7.08991E+23
       192    19100.0  1.29728E+21  8.38719E+23
       193    19200.0  1.52996E+21  9.91715E+23
       194    19300.0  1.80354E+21  1.17207E+24
       195    19400.0  2.12507E+21  1.38457E+24
       196    19500.0  2.50278E+21  1.63485E+24
       197    19600.0  2.94631E+21  1.92948E+24
       198    19700.0  3.46688E+21  2.27617E+24
       199    19800.0  4.07763E+21  2.68394E+24
       200    19900.0  4.79384E+21  3.16332E+24
       201    20000.0  5.63339E+21  3.72666E+24
       202    20100.0  6.61709E+21  4.38837E+24
       203    20200.0  7.76919E+21  5.16529E+24
       204    20300.0  9.11798E+21  6.07708E+24
       205    20400.0  1.06964E+22  7.14672E+24
       206    20500.0  1.25426E+22  8.40098E+24
       207    20600.0  1.47014E+22  9.87112E+24
       208    20700.0  1.72245E+22  1.15936E+25
       209    20800.0  2.01723E+22  1.36108E+25
       210    20900.0  2.36148E+22  1.59723E+25
       211    21000.0  2.76334E+22  1.87356E+25
       212    21100.0  3.23227E+22  2.19679E+25
       213    21200.0  3.77924E+22  2.57471E+25
       214    21300.0  4.41699E+22  3.01641E+25
       215    21400.0  5.16030E+22  3.53244E+25
       216    21500.0  6.02630E+22  4.13507E+25
       217    21600.0  7.03485E+22  4.83856E+25
       218    21700.0  8.20897E+22  5.65946E+25
       219    21800.0  9.57531E+22  6.61699E+25
       220    21900.0  1.11647E+23  7.73346E+25
       221    22000.0  1.30130E+23  9.03476E+25
       222    22100.0  1.51614E+23  1.05509E+26
       223    22200.0  1.76577E+23  1.23167E+26
       224    22300.0  2.05574E+23  1.43724E+26
       225    22400.0  2.39241E+23  1.67648E+26
       226    22500.0  2.78319E+23  1.95480E+26
       227    22600.0  3.23658E+23  2.27846E+26
       228    22700.0  3.76246E+23  2.65470E+26
       229    22800.0  4.37216E+23  3.09192E+26
       230    22900.0  5.07882E+23  3.59980E+26
