       No.    E-Emin     Density     Sum
         1        0.0  1.00000E-02  1.00000E+00
         2      100.0  3.00000E-02  4.00000E+00
         3      200.0  6.00000E-02  1.00000E+01
         4      300.0  1.50000E-01  2.50000E+01
         5      400.0  3.40000E-01  5.90000E+01
         6      500.0  7.00000E-01  1.29000E+02
         7      600.0  1.40000E+00  2.69000E+02
         8      700.0  2.72000E+00  5.41000E+02
         9      800.0  5.14000E+00  1.05500E+03
        10      900.0  9.49000E+00  2.00400E+03
        11     1000.0  1.71100E+01  3.71500E+03
        12     1100.0  3.02700E+01  6.74200E+03
        13     1200.0  5.27400E+01  1.20160E+04
        14     1300.0  9.04900E+01  2.10650E+04
        15     1400.0  1.52970E+02  3.63620E+04
        16     1500.0  2.55370E+02  6.18990E+04
        17     1600.0  4.21480E+02  1.04047E+05
        18     1700.0  6.88030E+02  1.72850E+05
        19     1800.0  1.11167E+03  2.84017E+05
        20     1900.0  1.77916E+03  4.61933E+05
        21     2000.0  2.82262E+03  7.44195E+05
        22     2100.0  4.44072E+03  1.18827E+06
        23     2200.0  6.93129E+03  1.88140E+06
        24     2300.0  1.07386E+04  2.95526E+06
        25     2400.0  1.65206E+04  4.60732E+06
        26     2500.0  2.52462E+04  7.13194E+06
        27     2600.0  3.83351E+04  1.09655E+07
        28     2700.0  5.78572E+04  1.67512E+07
        29     2800.0  8.68161E+04  2.54328E+07
        30     2900.0  1.29550E+05  3.83878E+07
        31     3000.0  1.92293E+05  5.76171E+07
        32     3100.0  2.83973E+05  8.60144E+07
        33     3200.0  4.17316E+05  1.27746E+08
        34     3300.0  6.10394E+05  1.88785E+08
        35     3400.0  8.88763E+05  2.77662E+08
        36     3500.0  1.28844E+06  4.06506E+08
        37     3600.0  1.86001E+06  5.92507E+08
        38     3700.0  2.67422E+06  8.59928E+08
        39     3800.0  3.82975E+06  1.24290E+09
        40     3900.0  5.46376E+06  1.78928E+09
        41     4000.0  7.76627E+06  2.56591E+09
        42     4100.0  1.09998E+07  3.66588E+09
        43     4200.0  1.55256E+07  5.21845E+09
        44     4300.0  2.18402E+07  7.40247E+09
        45     4400.0  3.06230E+07  1.04648E+10
        46     4500.0  4.28017E+07  1.47449E+10
        47     4600.0  5.96397E+07  2.07089E+10
        48     4700.0  8.28528E+07  2.89942E+10
        49     4800.0  1.14765E+08  4.04707E+10
        50     4900.0  1.58518E+08  5.63226E+10
        51     5000.0  2.18346E+08  7.81571E+10
        52     5100.0  2.99941E+08  1.08151E+11
        53     5200.0  4.10944E+08  1.49246E+11
        54     5300.0  5.61581E+08  2.05404E+11
        55     5400.0  7.65511E+08  2.81955E+11
        56     5500.0  1.04094E+09  3.86049E+11
        57     5600.0  1.41207E+09  5.27256E+11
        58     5700.0  1.91104E+09  7.18360E+11
        59     5800.0  2.58041E+09  9.76401E+11
        60     5900.0  3.47643E+09  1.32404E+12
        61     6000.0  4.67332E+09  1.79138E+12
        62     6100.0  6.26880E+09  2.41826E+12
        63     6200.0  8.39130E+09  3.25739E+12
        64     6300.0  1.12093E+10  4.37832E+12
        65     6400.0  1.49434E+10  5.87266E+12
        66     6500.0  1.98821E+10  7.86088E+12
        67     6600.0  2.64017E+10  1.05010E+13
        68     6700.0  3.49923E+10  1.40003E+13
        69     6800.0  4.62917E+10  1.86294E+13
        70     6900.0  6.11274E+10  2.47422E+13
        71     7000.0  8.05727E+10  3.27995E+13
        72     7100.0  1.06016E+11  4.34011E+13
        73     7200.0  1.39252E+11  5.73262E+13
        74     7300.0  1.82595E+11  7.55858E+13
        75     7400.0  2.39029E+11  9.94887E+13
        76     7500.0  3.12389E+11  1.30728E+14
        77     7600.0  4.07604E+11  1.71488E+14
        78     7700.0  5.30993E+11  2.24587E+14
        79     7800.0  6.90652E+11  2.93652E+14
        80     7900.0  8.96934E+11  3.83346E+14
        81     8000.0  1.16306E+12  4.99652E+14
        82     8100.0  1.50591E+12  6.50243E+14
        83     8200.0  1.94696E+12  8.44939E+14
        84     8300.0  2.51354E+12  1.09629E+15
        85     8400.0  3.24040E+12  1.42033E+15
        86     8500.0  4.17159E+12  1.83749E+15
        87     8600.0  5.36297E+12  2.37379E+15
        88     8700.0  6.88524E+12  3.06231E+15
        89     8800.0  8.82775E+12  3.94509E+15
        90     8900.0  1.13034E+13  5.07543E+15
        91     9000.0  1.44544E+13  6.52087E+15
        92     9100.0  1.84602E+13  8.36689E+15
        93     9200.0  2.35463E+13  1.07215E+16
        94     9300.0  2.99963E+13  1.37211E+16
        95     9400.0  3.81661E+13  1.75377E+16
        96     9500.0  4.85021E+13  2.23880E+16
        97     9600.0  6.15637E+13  2.85443E+16
        98     9700.0  7.80505E+13  3.63494E+16
        99     9800.0  9.88372E+13  4.62331E+16
       100     9900.0  1.25016E+14  5.87347E+16
       101    10000.0  1.57950E+14  7.45297E+16
       102    10100.0  1.99336E+14  9.44633E+16
       103    10200.0  2.51288E+14  1.19592E+17
       104    10300.0  3.16434E+14  1.51235E+17
       105    10400.0  3.98039E+14  1.91039E+17
       106    10500.0  5.00158E+14  2.41055E+17
       107    10600.0  6.27814E+14  3.03836E+17
       108    10700.0  7.87234E+14  3.82560E+17
       109    10800.0  9.86122E+14  4.81172E+17
       110    10900.0  1.23401E+15  6.04573E+17
       111    11000.0  1.54265E+15  7.58838E+17
       112    11100.0  1.92659E+15  9.51498E+17
       113    11200.0  2.40373E+15  1.19187E+18
       114    11300.0  2.99614E+15  1.49149E+18
       115    11400.0  3.73098E+15  1.86458E+18
       116    11500.0  4.64166E+15  2.32875E+18
       117    11600.0  5.76923E+15  2.90567E+18
       118    11700.0  7.16408E+15  3.62208E+18
       119    11800.0  8.88805E+15  4.51088E+18
       120    11900.0  1.10169E+16  5.61258E+18
       121    12000.0  1.36435E+16  6.97692E+18
       122    12100.0  1.68813E+16  8.66505E+18
       123    12200.0  2.08692E+16  1.07520E+19
       124    12300.0  2.57770E+16  1.33297E+19
       125    12400.0  3.18115E+16  1.65108E+19
       126    12500.0  3.92256E+16  2.04334E+19
       127    12600.0  4.83271E+16  2.52661E+19
       128    12700.0  5.94911E+16  3.12152E+19
       129    12800.0  7.31738E+16  3.85326E+19
       130    12900.0  8.99305E+16  4.75256E+19
       131    13000.0  1.10435E+17  5.85692E+19
       132    13100.0  1.35508E+17  7.21199E+19
       133    13200.0  1.66141E+17  8.87341E+19
       134    13300.0  2.03541E+17  1.09088E+20
       135    13400.0  2.49167E+17  1.34005E+20
       136    13500.0  3.04787E+17  1.64483E+20
       137    13600.0  3.72540E+17  2.01737E+20
       138    13700.0  4.55013E+17  2.47239E+20
       139    13800.0  5.55330E+17  3.02772E+20
       140    13900.0  6.77266E+17  3.70498E+20
       141    14000.0  8.25373E+17  4.53036E+20
       142    14100.0  1.00514E+18  5.53550E+20
       143    14200.0  1.22319E+18  6.75869E+20
       144    14300.0  1.48749E+18  8.24617E+20
       145    14400.0  1.80762E+18  1.00538E+21
       146    14500.0  2.19511E+18  1.22489E+21
       147    14600.0  2.66384E+18  1.49127E+21
       148    14700.0  3.23045E+18  1.81432E+21
       149    14800.0  3.91492E+18  2.20581E+21
       150    14900.0  4.74123E+18  2.67993E+21
       151    15000.0  5.73813E+18  3.25375E+21
       152    15100.0  6.94006E+18  3.94775E+21
       153    15200.0  8.38826E+18  4.78658E+21
       154    15300.0  1.01321E+19  5.79979E+21
       155    15400.0  1.22306E+19  7.02285E+21
       156    15500.0  1.47543E+19  8.49828E+21
       157    15600.0  1.77875E+19  1.02770E+22
       158    15700.0  2.14309E+19  1.24201E+22
       159    15800.0  2.58046E+19  1.50006E+22
       160    15900.0  3.10517E+19  1.81057E+22
       161    16000.0  3.73429E+19  2.18400E+22
       162    16100.0  4.48815E+19  2.63282E+22
       163    16200.0  5.39096E+19  3.17191E+22
       164    16300.0  6.47153E+19  3.81907E+22
       165    16400.0  7.76409E+19  4.59548E+22
       166    16500.0  9.30936E+19  5.52641E+22
       167    16600.0  1.11557E+20  6.64198E+22
       168    16700.0  1.33605E+20  7.97803E+22
       169    16800.0  1.59919E+20  9.57723E+22
       170    16900.0  1.91308E+20  1.14903E+23
       171    17000.0  2.28728E+20  1.37776E+23
       172    17100.0  2.73315E+20  1.65107E+23
       173    17200.0  3.26413E+20  1.97749E+23
       174    17300.0  3.89612E+20  2.36710E+23
       175    17400.0  4.64794E+20  2.83189E+23
       176    17500.0  5.54183E+20  3.38607E+23
       177    17600.0  6.60408E+20  4.04648E+23
       178    17700.0  7.86575E+20  4.83306E+23
       179    17800.0  9.36349E+20  5.76941E+23
       180    17900.0  1.11406E+21  6.88346E+23
       181    18000.0  1.32480E+21  8.20827E+23
       182    18100.0  1.57460E+21  9.78286E+23
       183    18200.0  1.87053E+21  1.16534E+24
       184    18300.0  2.22095E+21  1.38743E+24
       185    18400.0  2.63569E+21  1.65100E+24
       186    18500.0  3.12629E+21  1.96363E+24
       187    18600.0  3.70638E+21  2.33427E+24
       188    18700.0  4.39192E+21  2.77346E+24
       189    18800.0  5.20170E+21  3.29363E+24
       190    18900.0  6.15778E+21  3.90941E+24
       191    19000.0  7.28606E+21  4.63802E+24
       192    19100.0  8.61693E+21  5.49971E+24
       193    19200.0  1.01860E+22  6.51831E+24
       194    19300.0  1.20351E+22  7.72182E+24
       195    19400.0  1.42132E+22  9.14315E+24
       196    19500.0  1.67776E+22  1.08209E+25
       197    19600.0  1.97955E+22  1.28005E+25
       198    19700.0  2.33455E+22  1.51350E+25
       199    19800.0  2.75195E+22  1.78870E+25
       200    19900.0  3.24250E+22  2.11295E+25
       201    20000.0  3.81877E+22  2.49482E+25
       202    20100.0  4.49543E+22  2.94437E+25
       203    20200.0  5.28963E+22  3.47333E+25
       204    20300.0  6.22139E+22  4.09547E+25
       205    20400.0  7.31406E+22  4.82687E+25
       206    20500.0  8.59488E+22  5.68636E+25
       207    20600.0  1.00956E+23  6.69592E+25
       208    20700.0  1.18533E+23  7.88125E+25
       209    20800.0  1.39110E+23  9.27234E+25
       210    20900.0  1.63189E+23  1.09042E+26
       211    21000.0  1.91356E+23  1.28178E+26
       212    21100.0  2.24290E+23  1.50607E+26
       213    21200.0  2.62782E+23  1.76885E+26
       214    21300.0  3.07753E+23  2.07661E+26
       215    21400.0  3.60272E+23  2.43688E+26
       216    21500.0  4.21580E+23  2.85846E+26
       217    21600.0  4.93120E+23  3.35158E+26
       218    21700.0  5.76567E+23  3.92814E+26
       219    21800.0  6.73864E+23  4.60201E+26
       220    21900.0  7.87266E+23  5.38927E+26
       221    22000.0  9.19387E+23  6.30866E+26
       222    22100.0  1.07326E+24  7.38192E+26
       223    22200.0  1.25239E+24  8.63431E+26
       224    22300.0  1.46085E+24  1.00952E+27
       225    22400.0  1.70334E+24  1.17985E+27
       226    22500.0  1.98533E+24  1.37838E+27
       227    22600.0  2.31312E+24  1.60969E+27
       228    22700.0  2.69400E+24  1.87909E+27
       229    22800.0  3.13640E+24  2.19273E+27
       230    22900.0  3.65009E+24  2.55774E+27
