vu,Ju,vl,Jl,sigma,Dsigma,lambda,Dlambda,Aqua,Ama,A,Atot,Eu,DEu,Tu,gu
0,2,0,0,354.37313,3.7e-06,28.218843793,2.9e-07,2.943e-11,0.0,2.943e-11,2.943e-11,-35763.696396,0.00023,509.9,5
0,3,0,1,587.032025,6.1e-06,17.034845756,1.8e-07,4.761e-10,0.0,4.761e-10,4.761e-10,-35412.550688,0.00023,1015.1,21
0,4,0,2,814.424302,8.4e-06,12.278611991,1.3e-07,2.755e-09,0.0,2.755e-09,2.755e-09,-34949.272093,0.00022,1681.6,9
0,5,0,3,1034.670685,1.1e-05,9.664910918,1e-07,9.836e-09,0.0,9.836e-09,9.836e-09,-34377.880003,0.00022,2503.7,33
0,6,0,4,1246.099547,1.3e-05,8.025041036,8.4e-08,2.643e-08,0.0,2.643e-08,2.643e-08,-33703.172546,0.00021,3474.5,13
0,7,0,5,1447.280936,1.4e-05,6.909508549,6.7e-08,5.879e-08,0.0,5.879e-08,5.879e-08,-32930.599067,0.0002,4586.1,45
0,8,0,6,1637.046,1.6e-05,6.10856384,6e-08,1.142e-07,0.0,1.142e-07,1.142e-07,-32066.126547,0.0002,5829.8,17
0,9,0,7,1814.492375,1.7e-05,5.511183259,5.2e-08,2.001e-07,0.0,2.001e-07,2.001e-07,-31116.106692,0.00019,7196.7,57
0,10,0,8,1978.977263,1.9e-05,5.053115155,4.9e-08,3.236e-07,0.0,3.236e-07,3.236e-07,-30087.149284,0.00018,8677.1,21
0,28,1,26,354.175248,7.2e-06,28.234610003,5.7e-07,1.764e-11,0.0,1.764e-11,5.506e-06,-5120.547864,8e-06,44598.5,57
0,29,1,27,424.885217,7.3e-06,23.53576825,4e-07,4.62e-11,0.0,4.62e-11,5.43e-06,-3695.592361,1.6e-05,46648.7,177
0,30,1,28,492.51007,7.3e-06,20.304153375,3e-07,1.018e-10,0.0,1.018e-10,5.275e-06,-2293.279015,2.3e-05,48666.3,61
0,31,1,29,557.634092,7.4e-06,17.932906441,2.4e-07,1.996e-10,0.0,1.996e-10,5.04e-06,-917.227824,3e-05,50646.2,189
1,2,1,0,336.672301,3.5e-06,29.702473207,3.1e-07,2.786e-11,0.0,2.786e-11,8.472e-07,-31620.231103,0.00021,6471.4,5
1,3,1,1,557.650874,5.7e-06,17.932366766,1.8e-07,4.497e-10,0.0,4.497e-10,8.38e-07,-31286.678077,0.0002,6951.3,21
1,4,1,2,773.541019,7.9e-06,12.927562669,1.3e-07,2.592e-09,0.0,2.592e-09,8.226e-07,-30846.690083,0.0002,7584.3,9
1,5,1,3,982.530296,9.9e-06,10.177803209,1e-07,9.21e-09,0.0,9.21e-09,8.011e-07,-30304.14778,0.00019,8364.9,33
