element,sp_num,lambda,intens,Aki(s^-1),S(a.u.),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,line_ref
Xe,1,4.90282,1*,,,,95196.53,97236.276,5p5.(2P*<3/2>).10p,2[5/2],3,5p5.(2P*<3/2>).16d,2[7/2]*,3,L1975
Xe,1,4.90282,1*,,,,94685.467,96725.3,5p5.(2P*<3/2>).8d,2[3/2]*,1,5p5.(2P*<3/2>).10f,2[3/2],2,L1975
Xe,1,4.90282,1*,,,,94787.084,96827.0,5p5.(2P*<3/2>).10s,2[3/2]*,1,5p5.(2P*<3/2>).14p,2[5/2],2,L1975
Ne,1,4.90451,20,,,,167449.4698,169488.4193,2s2.2p5.(2P*<3/2>).5p,2[1/2],1,2s2.2p5.(2P*<3/2>).5d,2[1/2]*,1,L1975
Xe,1,4.90521,2,,,,92721.53,94759.935,5p5.(2P*<3/2>).7d,2[3/2]*,2,5p5.(2P*<3/2>).6f,2[5/2],2,L1975
Cr,1,4.905457,13,,,,36558.446,38596.9917,3d5.(2F2).4s,d 3F,2,3d4.(5D).4s.4p.(3P*),z 3D*,1,L14866
Th,1,4.90758,1,,,,18699.62342,20737.28686,5f.7s2.7p,3F,2,,*,1,L9974
Xe,1,4.90887,1,,,,95196.53,97233.418,5p5.(2P*<3/2>).10p,2[5/2],3,5p5.(2P*<3/2>).16d,2[7/2]*,4,L1975
Ar,2,4.9096796,78,,,,200393.1067,202429.8993,3s2.3p4.(3P).5d,4F,9/2,3s2.3p4.(3P).6p,4D*,7/2,L11520
Fe,2,4.91023,1.4e-04,,,,112994.097,115030.664,3d6.(5D<4>).5f,2[6]*,11/2,3d6.(3D).4d,4F,9/2,L18349c139
Xe,1,4.91102,1*,,,,92733.597,94769.524,5p5.(2P*<3/2>).7d,2[5/2]*,3,5p5.(2P*<3/2>).6f,2[7/2],4,L1975
Xe,1,4.91102,1*,,,,92721.53,94758.116,5p5.(2P*<3/2>).7d,2[3/2]*,2,5p5.(2P*<3/2>).6f,2[5/2],3,L1975
Fe,2,4.911352,7.e-04,,,,105127.773,107163.871,3d6.(5D).5d,4D,5/2,3d6.(5D).6p,4P*,5/2,L18349c139
Ti,1,4.91694,57,,,,17540.188,19573.974,3d3.(2D2).4s,a 3D,3,3d2.(3F).4s.4p.(3P*),z 3F*,4,L10989
Ne,2,4.91723,32,,,,314018.9129,316052.5791,2s2.2p4.(3P).6s,2P,1/2,2s2.2p4.(3P).6p,2D*,3/2,L11301
Ne,1,4.91762,10,,,,167449.4698,169482.9862,2s2.2p5.(2P*<3/2>).5p,2[1/2],1,2s2.2p5.(2P*<3/2>).5d,2[1/2]*,0,L1975
C,1,4.918379,7900p,490000.0,144.0,B,79310.86822,81344.05485,2s2.2p.3d,3P*,2,2s2.2p.4p,3P,2,L12175c183
Xe,1,4.92014,8,,,,88911.692,90944.133,5p5.(2P*<3/2>).6d,2[7/2]*,4,5p5.(2P*<3/2>).4f,2[7/2],4,L1975
Fe,1,4.920581,339,,,,51361.391,53393.673,3d6.(5D).4s (6D).5p,t 5D*,3,3d7.(4F).4d,g 5F,4,L11631
Ti,1,4.92255,9,,,,43009.4937,45040.955,3d4,3F1,4,3d3.(4F).5p,3F*,4,L10989
Fe,2,4.9228588,2.1e-03,,,,104593.292,106624.631,3d6.(5D).5d,6G,11/2,3d5.(4F).4s.4p.(3P*),6F*,9/2,L18349c139
Fe,1,4.926009,309,,,,17726.988,19757.032,3d7.(4P).4s,a 5P,2,3d6.(5D).4s.4p.(3P*),z 7D*,3,L11631
Xe,1,4.92745,1,,,,94285.5,96315.16,5p5.(2P*<3/2>).9p,2[1/2],0,5p5.(2P*<3/2>).11d,2[1/2]*,1,L1975
Fe,2,4.927841,2.3e-04,,,,104863.432,106892.717,3d6.(5D).5d,4G,11/2,3d6.(5D).6p,6F*,11/2,L18349c139
Xe,1,4.93229,13*,,,,94285.651,96312.89,5p5.(2P*<3/2>).8d,2[3/2]*,2,5p5.(2P*<3/2>).12p,2[3/2],2,L1975
Xe,1,4.93229,13*,,,,77185.041,79212.465,5p5.(2P*<1/2>).6s,2[1/2]*,1,5p5.(2P*<3/2>).6p,2[3/2],2,L1975
Th,2,4.9332251,3,,,,14790.99291,16818.06540,5f.6d.(3G*).7s,*,7/2,6d3,2G,7/2,L9974
Ti,1,4.93589,9,,,,37659.992,39685.964,3d2.4s.(4F).5s,e 3F,3,3d3.(2D2).4p,s 3D*,2,L10989
C,1,4.937662,1900q,147000.0,44.0,B,79318.8093,81344.05485,2s2.2p.3d,3P*,1,2s2.2p.4p,3P,2,L12175c183
Xe,1,4.93796,1,,,,92264.95,94290.225,5p5.(2P*<3/2>).8p,2[5/2],3,5p5.(2P*<3/2>).8d,2[7/2]*,3,L1975
Ne,2,4.940145,24,,,,312903.465,314927.6979,2s2.2p4.(3P).6s,4P,5/2,2s2.2p4.(3P).6p,4P*,5/2,L11301
Ti,1,4.94282,10,,,,37617.894,39641.021,3d3.(2G).4p,v 3G*,4,3d3.(4F).5s,f 3F,3,L10989
Fe,2,4.943003,2.8e-04bl(Fe I),,,,104569.226,106592.294,3d6.(3P2).4d,4F,5/2,3d5.(2D3).4s.4p.(3P*),4P*,5/2,L18349c148
Fe,1,4.943004,810,,,,54479.902,56502.957,3d6.4s.(6D).6s,5D,4,3d6.4s.(6D).6p,7F*,5,L11631
Ne,2,4.944281,18,,,,313180.2149,315202.7541,2s2.2p4.(3P).6s,2P,3/2,2s2.2p4.(3P).6p,2D*,5/2,L11301
Th,2,4.9461422,3,,,,4146.57708,6168.35582,6d2.(3F).7s,4F,7/2,5f.6d.(3H*).7s,4H*,7/2,L9974
Xe,1,4.94805,1*,,,,92264.95,94285.651,5p5.(2P*<3/2>).8p,2[5/2],3,5p5.(2P*<3/2>).8d,2[3/2]*,2,L1975
Xe,1,4.94805,1*,,,,92714.038,94734.882,5p5.(2P*<3/2>).7d,2[3/2]*,1,5p5.(2P*<3/2>).6f,2[3/2],1,L1975
Ti,1,4.95467,46,,,,20062.886,22081.189,3d3.(2P).4s,a 1P,1,3d2.(3F).4s.4p.(3P*),z 1D*,2,L10989
C,1,4.962913,2100p,213000.0,39.0,B,79310.86822,81325.81077,2s2.2p.3d,3P*,2,2s2.2p.4p,3P,1,L12175c183
Xe,1,4.96697,1,,,,92721.53,94734.882,5p5.(2P*<3/2>).7d,2[3/2]*,2,5p5.(2P*<3/2>).6f,2[3/2],1,L1975
Xe,1,4.96816,1,,,,94110.15,96122.77,5p5.(2P*<3/2>).9p,2[5/2],2,5p5.(2P*<3/2>).12s,2[3/2]*,1,L1975
Fe,1,4.969539,219,,,,17550.181,19562.439,3d7.(4P).4s,a 5P,3,3d6.(5D).4s.4p.(3P*),z 7D*,4,L11631
Xe,1,4.97238,1,,,,92733.597,94744.718,5p5.(2P*<3/2>).7d,2[5/2]*,3,5p5.(2P*<3/2>).6f,2[9/2],4,L1975
Fe,2,4.974578,1.9e-04,,,,105449.557,107459.780,3d6.(5D).5d,4G,7/2,3d5.(2F1).4s.4p.(3P*),4G*,7/2,L18349c139
Th,1,4.976287,3,,,,7795.275291,9804.806547,5f.6d.7s2,3H*,4,6d3.(4F).7s,5F,5,L9974
Fe,2,4.97774,4.e-04,,,,104174.285,106183.228,3d6.(3H).4d,4I,11/2,3d5.(2I).4s.4p.(3P*),2K*,13/2,L18349c139
Xe,1,4.97874,1,,,,94290.225,96298.95,5p5.(2P*<3/2>).8d,2[7/2]*,3,5p5.(2P*<3/2>).12p,2[5/2],3,L1975
C,1,4.982554,2000,177000.0,32.0,B,79318.8093,81325.81077,2s2.2p.3d,3P*,1,2s2.2p.4p,3P,1,L12175c183
Xe,1,4.98388,1,,,,92333.066,94339.433,5p5.(2P*<3/2>).8p,2[3/2],1,5p5.(2P*<3/2>).8d,2[5/2]*,2,L1975
Th,1,4.989603,1,,,,29711.62048,31715.78811,,*,5,,,6,L9974
Xe,1,4.9922,2*,,,,95181.66,97185.120,5p5.(2P*<3/2>).10p,2[5/2],2,5p5.(2P*<3/2>).17s,2[3/2]*,1,L1975
Xe,1,4.9922,2*,,,,92733.597,94737.121,5p5.(2P*<3/2>).7d,2[5/2]*,3,5p5.(2P*<3/2>).6f,2[3/2],2,L1975
C,1,4.993451,2600,203000.0,37.0,B,79323.1883,81325.81077,2s2.2p.3d,3P*,0,2s2.2p.4p,3P,1,L12175c183
Th,2,4.9993408,230,,,,8378.85915,10379.12308,5f.7s2,2F*,7/2,6d2.(1G).7s,,9/2,L9974
Xe,1,5.00217,2,,,,92370.923,94369.995,5p5.(2P*<3/2>).8p,2[3/2],2,5p5.(2P*<3/2>).8d,2[5/2]*,3,L1975
Ti,1,5.00569,40,,,,17423.856,19421.580,3d3.(2D2).4s,a 3D,2,3d2.(3F).4s.4p.(3P*),z 3F*,3,L10989
Ne,1,5.00626,10,,,,170289.6782,172287.066,2s2.2p5.(2P*<1/2>).5d,2[5/2]*,3,2s2.2p5.(2P*<3/2>).9p,2[5/2],2,L1975
Th,1,5.0105045,5,,,,24259.77463,26255.58209,,*,4,,,4,L9974
Ti,1,5.01067,12,,,,34204.985,36200.732,3d2.(1G).4s.4p.(3P*),v 3F*,4,3d4,b 3G,5,L10989
Xe,1,5.01222,1,,,,88911.692,90907.090,5p5.(2P*<3/2>).6d,2[7/2]*,4,5p5.(2P*<3/2>).4f,2[5/2],3,L1975
Th,2,5.0145711,3,,,,13248.70938,15242.89888,6d3,4F,9/2,5f.(2F*).6d2.(3F),4H*,9/2,L9974
Mg,2,5.016119,400,2530000.0,631.0,A,110203.58,112197.17,2p6.7p,2P*,1/2,2p6.7d,2D,3/2,L6692
Ar,2,5.0165159,20,,,,201351.6169,203345.0332,3s2.3p4.(3P).5d,4F,5/2,3s2.3p4.(3P).6p,2D*,3/2,L11520
C,1,5.019462,1400,570000.0,35.0,B,79318.8093,81311.0544,2s2.2p.3d,3P*,1,2s2.2p.4p,3P,0,L12175c183
Xe,1,5.02438,1,,,,89162.356,91152.670,5p5.(2P*<1/2>).6p,2[3/2],2,5p5.(2P*<1/2>).5d,2[5/2]*,2,L1975
Mg,2,5.027508,630,3030000.0,1140.0,A,110207.99,112197.05,2p6.7p,2P*,3/2,2p6.7d,2D,5/2,L6692
